"","time","minute","minutes_after_dark","period","subject_race"
"159",19:50:00,1190,136,"night","black"
"160",19:50:00,1190,136,"night","white"
"161",19:50:00,1190,136,"night","white"
"162",19:54:00,1194,140,"night","white"
"163",19:55:00,1195,141,"night","white"
"164",19:56:00,1196,142,"night","black"
"165",20:00:00,1200,146,"night","black"
"166",20:05:00,1205,151,"night","white"
"167",20:10:00,1210,156,"night","black"
"168",20:11:00,1211,157,"night","white"
"169",20:15:00,1215,161,"night","white"
"170",20:24:00,1224,170,"night","black"
"171",20:30:00,1230,176,"night","black"
"172",20:30:00,1230,176,"night","white"
"173",20:30:00,1230,176,"night","white"
"174",20:37:00,1237,183,"night","white"
"175",20:50:00,1250,196,"night","white"
"176",20:52:00,1252,198,"night","white"
"177",20:55:00,1255,201,"night","black"
"178",20:55:00,1255,201,"night","white"
"179",21:05:00,1265,211,"night","black"
"180",17:35:00,1055,0,"day","white"
"181",17:40:00,1060,5,"night","white"
"182",17:40:00,1060,5,"night","white"
"183",17:45:00,1065,10,"night","black"
"184",17:46:00,1066,11,"night","white"
"185",17:47:00,1067,12,"night","black"
"186",17:49:00,1069,14,"night","black"
"187",18:04:00,1084,29,"night","white"
"188",18:05:00,1085,30,"night","white"
"189",18:11:00,1091,36,"night","white"
"190",18:20:00,1100,45,"night","black"
"191",18:30:00,1110,55,"night","black"
"192",18:55:00,1135,80,"night","white"
"193",19:00:00,1140,85,"night","white"
"194",19:19:00,1159,104,"night","white"
"195",19:25:00,1165,110,"night","white"
"196",19:30:00,1170,115,"night","white"
"197",19:34:00,1174,119,"night","white"
"198",19:35:00,1175,120,"night","black"
"199",19:36:00,1176,121,"night","black"
"200",20:05:00,1205,150,"night","white"
"201",20:05:00,1205,150,"night","white"
"202",20:06:00,1206,151,"night","white"
"203",20:28:00,1228,173,"night","white"
"204",20:38:00,1238,183,"night","black"
"205",20:40:00,1240,185,"night","white"
"206",17:39:00,1059,3,"night","white"
"207",17:40:00,1060,4,"night","white"
"208",17:48:00,1068,12,"night","white"
"209",17:50:00,1070,14,"night","white"
"210",17:50:00,1070,14,"night","white"
"211",17:50:00,1070,14,"night","white"
"212",17:55:00,1075,19,"night","white"
"213",18:00:00,1080,24,"night","white"
"214",18:07:00,1087,31,"night","white"
"215",18:15:00,1095,39,"night","white"
"216",18:16:00,1096,40,"night","white"
"217",18:20:00,1100,44,"night","white"
"218",18:20:00,1100,44,"night","white"
"219",18:23:00,1103,47,"night","black"
"220",18:26:00,1106,50,"night","white"
"221",18:30:00,1110,54,"night","white"
"222",18:35:00,1115,59,"night","white"
"223",18:40:00,1120,64,"night","white"
"224",18:44:00,1124,68,"night","white"
"225",18:45:00,1125,69,"night","white"
"226",18:50:00,1130,74,"night","black"
"227",18:50:00,1130,74,"night","white"
"228",18:50:00,1130,74,"night","white"
"229",18:55:00,1135,79,"night","white"
"230",19:00:00,1140,84,"night","white"
"231",19:05:00,1145,89,"night","white"
"232",19:14:00,1154,98,"night","white"
"233",19:20:00,1160,104,"night","white"
"234",19:26:00,1166,110,"night","white"
"235",19:30:00,1170,114,"night","white"
"236",19:35:00,1175,119,"night","black"
